school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,schoolsup,famsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,failures,absences,G1,G2,G3,paid,alc_use,high_use
GP,F,17,U,GT3,T,3,2,other,other,home,mother,1,2,no,yes,no,yes,yes,yes,yes,4,3,2,2,3,2,0,0,10,10,8,yes,2.5,TRUE
GP,F,17,U,GT3,T,3,3,other,other,home,mother,1,3,no,no,yes,no,yes,no,no,3,2,3,1,1,4,0,3,12,10,11,no,1,FALSE
GP,F,17,U,GT3,T,3,4,at_home,services,home,mother,1,3,no,yes,no,yes,yes,yes,yes,4,4,3,3,4,5,1,21,9,9,8,yes,3.5,TRUE
GP,F,17,U,GT3,T,3,4,services,other,course,mother,1,3,no,no,no,yes,yes,yes,no,4,4,5,1,3,5,0,12,14,14,14,no,2,FALSE
GP,F,17,U,GT3,T,4,2,other,other,reputation,mother,2,3,no,yes,no,yes,yes,yes,no,4,3,3,1,1,3,0,0,16,14,15,yes,1,FALSE
GP,F,17,U,GT3,T,4,3,health,other,reputation,mother,1,3,no,yes,yes,yes,yes,yes,yes,4,4,3,1,3,4,0,0,12,14,14,yes,2,FALSE
GP,F,17,U,GT3,T,4,3,health,services,reputation,mother,1,3,no,yes,no,yes,yes,yes,no,4,2,2,1,2,3,0,0,16,16,16,yes,1.5,FALSE
GP,F,17,U,GT3,T,4,3,other,other,reputation,mother,1,2,no,no,no,yes,yes,yes,yes,3,4,5,2,4,1,1,19,8,8,7,yes,3,TRUE
GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,1,1,yes,yes,no,yes,yes,no,yes,4,2,1,1,1,4,0,0,12,12,12,no,1,FALSE
GP,F,17,U,GT3,T,4,4,services,teacher,home,mother,2,1,no,yes,no,yes,yes,yes,no,4,2,4,2,3,2,1,27,16,16,17,no,2.5,TRUE
GP,F,17,U,GT3,T,4,4,teacher,services,course,mother,1,3,no,yes,yes,yes,yes,yes,no,5,4,4,1,3,4,0,4,12,10,11,yes,2,FALSE
GP,F,17,U,GT3,T,4,4,teacher,teacher,course,mother,2,3,no,yes,no,no,yes,yes,yes,4,3,3,1,2,4,0,4,14,14,14,yes,1.5,FALSE
GP,F,17,U,LE3,T,0,2,at_home,at_home,home,father,2,3,no,no,no,yes,yes,yes,no,3,3,3,2,3,2,0,0,15,14,15,no,2.5,TRUE
GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,no,yes,no,yes,yes,yes,yes,3,4,4,1,3,5,0,7,12,12,12,no,2,FALSE
GP,F,17,U,LE3,T,2,2,services,other,course,mother,2,2,yes,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,0,6,12,12,12,yes,2.5,TRUE
GP,F,17,U,LE3,T,2,2,services,services,course,father,1,4,no,no,yes,yes,yes,yes,yes,3,4,1,1,1,2,0,1,10,10,6,yes,1,FALSE
GP,F,17,U,LE3,T,2,4,services,services,course,father,1,2,no,no,yes,yes,yes,yes,yes,4,3,2,1,1,5,0,4,14,15,16,no,1,FALSE
GP,F,17,U,LE3,T,3,2,other,other,reputation,mother,2,2,no,no,no,yes,yes,yes,no,4,4,4,1,3,1,0,2,14,16,15,yes,2,FALSE
GP,F,17,U,LE3,T,3,3,other,other,reputation,mother,1,2,no,yes,yes,yes,yes,yes,yes,5,3,3,2,3,1,0,44,12,11,11,no,2.5,TRUE
GP,F,17,U,LE3,T,4,2,teacher,services,reputation,mother,1,4,no,yes,yes,yes,yes,yes,no,4,2,3,1,1,4,0,4,14,14,15,yes,1,FALSE
GP,F,17,U,LE3,T,4,3,health,other,reputation,father,1,2,no,no,yes,yes,yes,yes,yes,3,2,3,1,2,3,0,7,14,12,13,no,1.5,FALSE
GP,F,18,R,GT3,A,3,2,other,services,home,mother,2,2,no,no,no,no,no,yes,yes,4,1,1,1,1,5,0,45,11,9,10,no,1,FALSE
GP,F,18,R,GT3,T,1,1,at_home,other,course,mother,3,1,no,yes,yes,no,yes,no,no,5,2,5,1,5,4,3,6,10,9,10,no,3,TRUE
GP,F,18,R,GT3,T,2,1,other,other,reputation,mother,2,2,no,yes,no,yes,no,yes,yes,4,3,5,1,2,3,0,6,7,4,5,no,1.5,FALSE
GP,F,18,R,GT3,T,2,2,at_home,other,course,mother,2,4,no,no,yes,yes,yes,no,no,4,4,4,1,1,4,0,3,12,11,7,no,1,FALSE
GP,F,18,R,GT3,T,3,1,other,other,reputation,mother,1,2,no,no,yes,yes,yes,yes,yes,5,3,3,1,1,4,0,10,8,8,8,no,1,FALSE
GP,F,18,R,GT3,T,4,4,teacher,other,reputation,mother,2,2,no,no,yes,yes,yes,yes,no,4,3,4,2,2,4,0,8,11,10,12,yes,2,FALSE
GP,F,18,R,LE3,T,1,1,at_home,other,reputation,mother,2,4,no,yes,yes,yes,yes,no,no,5,2,2,1,1,3,0,2,14,14,15,yes,1,FALSE
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,yes,no,no,yes,yes,no,no,4,3,4,1,1,3,0,5,2,8,8,no,1,FALSE
GP,F,18,U,GT3,T,1,1,other,other,home,mother,2,2,yes,no,yes,yes,yes,yes,no,5,4,4,1,1,4,0,2,10,11,12,no,1,FALSE
GP,F,18,U,GT3,T,2,1,other,other,course,other,2,3,no,yes,no,no,yes,yes,yes,4,4,4,1,1,3,0,5,10,5,6,yes,1,FALSE
GP,F,18,U,GT3,T,2,1,services,other,course,mother,2,2,no,yes,yes,yes,yes,yes,no,5,3,3,1,2,1,0,1,10,10,8,yes,1.5,FALSE
GP,F,18,U,GT3,T,2,2,at_home,at_home,other,mother,1,3,no,yes,no,yes,yes,yes,no,4,3,3,1,2,2,0,2,18,18,18,yes,1.5,FALSE
GP,F,18,U,GT3,T,2,2,at_home,services,home,mother,1,3,no,yes,yes,yes,yes,yes,yes,4,3,3,1,1,3,0,0,10,11,6,yes,1,FALSE
GP,F,18,U,GT3,T,2,3,at_home,other,course,mother,1,3,no,yes,no,yes,yes,yes,no,4,3,3,1,2,3,0,2,11,11,12,no,1.5,FALSE
GP,F,18,U,GT3,T,2,3,other,services,reputation,father,1,4,no,yes,yes,yes,yes,yes,yes,4,5,5,1,3,2,0,7,16,15,15,yes,2,FALSE
GP,F,18,U,GT3,T,3,2,other,services,other,mother,1,3,no,no,no,yes,yes,yes,yes,5,4,3,2,3,1,0,6,14,14,16,no,2.5,TRUE
GP,F,18,U,GT3,T,3,3,services,services,home,mother,1,2,no,no,yes,yes,yes,yes,no,5,3,4,1,1,4,0,4,8,6,6,no,1,FALSE
GP,F,18,U,GT3,T,4,3,other,other,course,mother,1,3,no,yes,yes,yes,yes,yes,yes,4,3,4,1,1,5,0,6,12,12,13,yes,1,FALSE
GP,F,18,U,GT3,T,4,3,other,other,reputation,father,1,4,no,yes,no,yes,yes,yes,no,4,3,3,1,1,3,0,0,15,15,16,yes,1,FALSE
GP,F,18,U,GT3,T,4,3,services,other,home,father,1,2,no,yes,no,yes,yes,yes,yes,3,1,2,1,3,2,0,12,16,16,16,yes,2,FALSE
GP,F,18,U,GT3,T,4,4,health,health,reputation,father,1,2,yes,yes,yes,yes,yes,yes,yes,2,4,4,1,1,4,1,8,12,10,10,no,1,FALSE
GP,F,18,U,GT3,T,4,4,teacher,other,course,mother,1,2,no,yes,no,yes,yes,yes,no,4,4,4,3,3,5,0,1,12,11,12,yes,3,TRUE
GP,F,18,U,LE3,A,4,4,health,other,home,mother,1,2,no,yes,no,yes,yes,yes,yes,4,2,4,1,1,4,0,7,13,12,13,no,1,FALSE
GP,F,18,U,LE3,T,1,1,other,other,home,mother,2,2,no,yes,no,no,yes,no,no,4,4,3,1,1,3,0,2,12,12,12,yes,1,FALSE
GP,F,18,U,LE3,T,2,2,other,other,home,other,1,2,no,no,yes,no,yes,yes,yes,4,3,3,1,1,2,0,0,9,8,6,no,1,FALSE
GP,F,18,U,LE3,T,3,3,services,services,home,mother,1,4,no,yes,no,yes,yes,yes,no,5,3,3,1,1,1,0,6,15,14,16,no,1,FALSE
GP,F,18,U,LE3,T,4,3,other,other,home,other,2,2,no,yes,no,yes,yes,yes,yes,4,4,5,1,2,2,0,5,12,11,11,yes,1.5,FALSE
GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,no,yes,no,no,no,no,no,3,4,2,1,1,5,2,1,8,9,10,no,1,FALSE
GP,F,19,U,GT3,T,3,3,other,other,reputation,other,1,4,no,yes,yes,yes,yes,yes,no,4,3,3,1,2,3,0,7,10,10,10,yes,1.5,FALSE
GP,F,19,U,GT3,T,3,3,other,services,home,other,1,2,no,yes,yes,yes,yes,yes,no,4,3,5,3,3,5,1,16,10,10,10,yes,3,TRUE
GP,F,19,U,GT3,T,4,4,health,other,reputation,other,2,2,no,yes,yes,yes,yes,yes,no,2,3,4,2,3,2,0,1,12,11,6,yes,2.5,TRUE
GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,0,6,10,9,10,no,1,FALSE
GP,M,15,R,GT3,T,2,3,at_home,services,course,mother,1,2,yes,no,yes,yes,yes,no,no,4,4,4,1,1,1,0,1,9,8,8,yes,1,FALSE
GP,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,no,yes,no,yes,yes,no,yes,5,3,3,1,1,5,0,1,10,6,6,no,1,FALSE
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,no,yes,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,0,15,15,16,no,1,FALSE
GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,no,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,0,7,11,12,12,yes,4,TRUE
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,no,yes,no,yes,yes,yes,yes,4,5,2,1,1,3,0,0,14,15,16,no,1,FALSE
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,no,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,0,16,17,17,yes,1,FALSE
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,no,yes,yes,no,yes,yes,yes,1,3,3,5,5,3,0,2,12,12,12,no,5,TRUE
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,no,yes,no,yes,yes,yes,no,4,2,2,1,2,5,0,5,12,12,12,yes,1.5,FALSE
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,yes,yes,no,yes,yes,yes,no,5,4,1,1,1,1,0,0,8,9,10,no,1,FALSE
GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,no,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,0,6,15,14,14,yes,1.5,FALSE
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,yes,no,no,no,yes,yes,no,5,3,2,1,2,5,0,3,10,10,10,yes,1.5,FALSE
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,0,1,10,12,12,yes,2,FALSE
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,no,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,0,13,14,14,yes,1,FALSE
GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,0,4,14,13,14,no,1.5,FALSE
GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,yes,no,no,yes,yes,yes,no,5,5,5,3,2,5,0,1,11,11,10,no,2.5,TRUE
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,4,12,11,10,no,1,FALSE
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,2,13,14,13,yes,3,TRUE
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,0,10,10,10,no,1,FALSE
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,no,yes,no,yes,yes,no,no,4,3,3,2,2,5,0,3,13,14,14,yes,2,FALSE
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,no,yes,no,yes,yes,yes,no,5,4,3,1,2,3,0,1,11,11,12,yes,1.5,FALSE
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,no,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,0,3,10,10,10,yes,2.5,TRUE
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,0,12,14,14,no,1,FALSE
GP,M,15,U,GT3,T,4,3,teacher,services,course,father,2,4,yes,yes,no,yes,yes,yes,no,2,2,2,1,1,3,0,3,8,10,6,no,1,FALSE
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,no,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,0,12,14,14,yes,1,FALSE
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,no,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,0,10,11,12,yes,3.5,TRUE
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,no,yes,yes,yes,yes,no,no,4,4,3,1,1,2,0,3,14,14,15,no,1,FALSE
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,no,yes,yes,no,yes,yes,no,5,3,3,1,1,5,0,3,11,13,13,no,1,FALSE
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,no,yes,yes,yes,yes,yes,no,4,3,1,1,1,5,0,1,16,16,16,no,1,FALSE
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,no,yes,yes,yes,yes,yes,no,4,3,3,1,1,5,0,1,16,16,16,no,1,FALSE
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,no,yes,yes,yes,yes,no,no,3,2,2,1,1,5,0,6,14,15,16,no,1,FALSE
GP,M,15,U,LE3,A,2,1,services,other,course,mother,4,1,no,no,no,yes,yes,yes,no,4,5,5,2,5,5,2,0,10,10,10,no,3.5,TRUE
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,no,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,0,16,17,18,yes,1,FALSE
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,no,no,no,yes,yes,no,no,5,5,5,3,4,5,0,5,10,10,10,no,3.5,TRUE
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,0,5,16,16,16,no,1,FALSE
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0,1,12,12,12,no,1,FALSE
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,no,yes,yes,yes,yes,yes,no,4,3,4,1,1,4,0,4,11,12,13,no,1,FALSE
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,no,no,yes,yes,yes,yes,no,5,3,3,1,3,4,0,3,14,14,14,yes,2,FALSE
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,0,10,11,12,no,1,FALSE
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,0,10,18,18,18,no,1,FALSE
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,no,yes,yes,yes,yes,yes,no,5,4,3,1,1,4,0,1,14,15,16,no,1,FALSE
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,no,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,0,1,13,14,13,yes,2,FALSE
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,no,yes,no,no,yes,yes,yes,5,4,3,2,4,5,0,8,11,12,12,no,3,TRUE
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,no,yes,yes,yes,yes,yes,yes,2,4,3,1,1,5,0,6,14,14,14,no,1,FALSE
GP,M,16,R,GT3,T,2,1,other,other,course,mother,2,1,no,no,yes,no,yes,no,no,3,3,2,1,3,3,0,1,11,11,10,no,2,FALSE
GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,3,1,no,no,no,no,yes,no,no,4,2,2,1,2,3,0,3,14,12,13,no,1.5,FALSE
GP,M,16,R,GT3,T,3,3,services,services,reputation,mother,1,1,no,yes,yes,yes,yes,yes,no,4,3,2,3,4,5,0,4,10,10,10,no,3.5,TRUE
GP,M,16,R,GT3,T,4,2,teacher,services,other,mother,1,1,no,yes,yes,yes,yes,yes,yes,4,3,3,3,4,3,0,9,10,8,10,no,3.5,TRUE
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,yes,yes,yes,no,yes,yes,no,3,3,3,1,1,4,0,4,10,13,13,no,1,FALSE
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,no,no,yes,yes,yes,yes,no,3,5,5,2,5,4,0,8,16,16,16,yes,3.5,TRUE
GP,M,16,R,LE3,T,3,3,teacher,other,home,father,3,1,no,yes,yes,yes,yes,yes,no,3,3,4,3,5,3,0,12,10,10,11,yes,4,TRUE
GP,M,16,U,GT3,T,0,2,other,other,other,mother,1,1,no,no,no,no,yes,yes,no,4,3,2,2,4,5,0,0,12,14,13,yes,3,TRUE
GP,M,16,U,GT3,T,1,0,other,other,reputation,mother,2,2,no,yes,yes,yes,yes,yes,yes,4,3,2,1,1,3,0,1,14,16,17,yes,1,FALSE
GP,M,16,U,GT3,T,1,2,services,services,other,mother,1,1,no,yes,yes,yes,yes,yes,yes,3,3,3,1,2,3,0,1,10,10,11,yes,1.5,FALSE
GP,M,16,U,GT3,T,2,1,other,other,course,mother,3,1,no,no,no,yes,yes,yes,no,4,3,3,1,1,4,0,6,16,17,17,no,1,FALSE
GP,M,16,U,GT3,T,2,2,other,other,course,father,1,2,no,no,no,yes,no,yes,no,4,3,5,2,4,4,0,2,10,10,10,no,3,TRUE
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,0,9,12,10,10,yes,1,FALSE
GP,M,16,U,GT3,T,2,3,other,other,home,father,2,1,no,no,no,yes,yes,yes,no,5,3,3,1,1,3,0,0,13,13,13,no,1,FALSE
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,no,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,1,13,13,13,yes,1,FALSE
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,1,12,12,14,no,2,FALSE
GP,M,16,U,GT3,T,3,2,at_home,other,reputation,mother,2,3,no,no,yes,yes,yes,yes,yes,5,3,3,1,3,2,0,5,12,10,11,no,2,FALSE
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,no,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,2,12,13,14,yes,1,FALSE
GP,M,16,U,GT3,T,3,3,at_home,other,reputation,other,3,2,yes,yes,no,no,yes,yes,no,5,3,3,1,3,2,0,5,8,10,10,no,2,FALSE
GP,M,16,U,GT3,T,3,3,other,services,course,father,1,2,no,yes,no,yes,yes,yes,yes,4,5,5,4,4,5,1,2,10,11,6,yes,4,TRUE
GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0,3,14,14,14,no,1,FALSE
GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,no,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,0,3,14,16,16,no,1,FALSE
GP,M,16,U,GT3,T,3,3,services,other,home,mother,1,2,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,3,0,1,12,12,12,yes,1.5,FALSE
GP,M,16,U,GT3,T,3,4,other,other,course,father,3,1,no,yes,yes,no,yes,yes,no,3,4,5,2,4,2,2,2,8,7,5,no,3,TRUE
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,0,3,18,18,18,no,1,FALSE
GP,M,16,U,GT3,T,4,3,teacher,other,home,mother,1,2,no,yes,yes,yes,yes,yes,no,3,4,3,2,3,3,0,7,10,9,10,yes,2.5,TRUE
GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,no,yes,yes,yes,yes,yes,no,3,4,4,1,4,5,0,11,13,12,13,no,2.5,TRUE
GP,M,16,U,GT3,T,4,4,health,other,reputation,father,1,2,no,yes,yes,yes,yes,yes,no,4,2,4,2,4,1,0,1,14,13,14,yes,3,TRUE
